54.185.190.202 - - [07/Aug/2025:22:48:32 +0000] "GET / HTTP/1.1" 200 26371 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"
175.100.33.97 - - [07/Aug/2025:22:54:36 +0000] "GET /version HTTP/2.0" 304 0 "https://sakura.wiki/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:51 +0000] "GET /.git/HEAD HTTP/1.1" 301 162 "-" "-"
185.177.72.202 - - [07/Aug/2025:23:06:51 +0000] "GET /.env HTTP/1.1" 301 162 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:51 +0000] "GET /.env HTTP/1.1" 404 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:51 +0000] "GET /.env.bak HTTP/1.1" 404 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:51 +0000] "GET /.env.local HTTP/1.1" 404 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:52 +0000] "GET /.env.production HTTP/1.1" 404 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:52 +0000] "GET /.env.dev HTTP/1.1" 404 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:52 +0000] "GET /config/.env HTTP/1.1" 200 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:52 +0000] "GET /docker/.env HTTP/1.1" 200 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:52 +0000] "GET /api/.env HTTP/1.1" 502 26371 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:53 +0000] "GET /api/config HTTP/1.1" 502 26371 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:53 +0000] "GET /api/settings.json HTTP/1.1" 502 26371 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:53 +0000] "GET /api/keys HTTP/1.1" 502 26371 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:54 +0000] "GET /api/credentials HTTP/1.1" 502 26371 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:54 +0000] "GET /phpinfo HTTP/1.1" 200 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:54 +0000] "GET /phpinfo.php HTTP/1.1" 404 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:54 +0000] "GET /info.php HTTP/1.1" 404 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
